customer_id,satisfaction_score,num_complaints_12m,support_tickets_12m,payment_score,late_payments_12m
bc99c4b918ed18c5,9.9,0,2,300,0
b2e378938f3d213a,7.0,0,2,300,0
ca56cbd5c290565b,9.0,0,1,300,0
ff86d1ab6274a49f,9.9,0,2,300,0
b5728b7fe5b22538,8.6,0,2,300,0
f4fe4b4c872d4dc6,8.2,0,3,300,0
775ebedc791f7fcc,5.7,3,4,300,0
55f7b5cc41062491,7.4,2,4,300,0
5b66891f06c1b32b,8.7,1,2,300,0
ae3262443e521c11,9.9,0,3,300,0
7020b62b156e377f,9.2,0,4,300,0
d7295a9339cf5ac0,7.0,1,1,300,0
6e748cdb7667a2ff,7.3,2,2,300,0
987388bc3575277e,8.1,0,4,300,0
0614876edb7a81b7,7.8,0,3,300,0
24b1b53ad693f4b0,8.9,1,5,300,0
5ba382aa7582d5ba,10.0,1,3,300,0
808e182391b51578,7.6,1,4,300,0
391d0ed3d62b5e3c,9.4,1,4,300,0
90d926b25b8f91a1,8.6,0,5,300,0
3b97c56363545466,8.2,0,3,300,0
37445dba16c4bc6d,6.7,1,1,300,0
b1a1232e8939b06b,10.0,0,3,300,0
69f09c99e99a219d,8.8,0,3,300,0
5fd64a0b57c4fb0a,7.1,2,4,300,0
05b07554daecbdfd,7.0,0,2,300,0
84f436a7f5d0eece,8.1,0,6,300,0
027fa0510b317e89,5.6,1,1,300,0
2ce46f4511f358d2,7.7,0,2,300,0
229d0cfd38e6b317,7.2,3,4,300,0
15af4e7ec7cb35e2,10.0,1,4,300,0
fba871dff120b91e,9.6,0,3,300,0
7f9c3a9037162771,7.7,1,5,300,0
5b61b78147c0681b,9.0,0,4,300,0
f2879f9094bece2c,9.1,1,1,300,0
bd5330f183223d44,8.2,0,4,300,0
9a26cf3566b3ef4c,8.0,0,1,300,0
2275584f1ac87bcb,10.0,0,2,300,0
3bfacafe11844e97,10.0,1,2,300,0
140f57b8b687ee67,10.0,0,1,300,0
7b139bd1d3654683,10.0,0,2,300,0
85c01c2d7a9e18d1,8.9,0,2,300,0
48973778cf10fc15,5.5,2,4,300,0
9007e3dd3e1e9a63,7.8,0,1,300,0
5b2ab5cf82af681a,10.0,1,3,300,0
c18ca776d96260d8,7.8,0,2,300,0
8873eafce12cbae2,6.4,2,3,300,0
42060259d81626b0,8.0,1,3,300,0
840ee4fcb448aeaa,6.8,2,4,300,0
85ef579108b681d4,7.5,1,4,300,0
a22d3779bff97a6e,7.7,1,1,300,0
988cb6000cbe03cd,9.6,0,1,300,0
58a31580d5b844ef,10.0,0,2,300,0
3eae138560a50297,6.3,0,2,300,0
ed9d87f833a21622,6.0,2,4,300,1
a838050b36c551af,7.5,1,2,300,0
1fd35a5a20a4839d,10.0,0,2,300,0
29e072ba2c755ec1,8.3,0,4,300,0
1b8624a6c7d05fe3,9.1,0,3,300,0
4b170a397045249a,7.9,1,6,300,0
d4b1696dc5e1e73e,9.4,0,1,300,0
5a506a5135d297e5,8.3,0,1,300,0
7b5f8066095b9e86,8.8,1,3,300,0
215016c0ab4881c3,6.9,1,2,300,0
eadf83c82aa9344d,9.4,0,4,300,0
921616de58b647ae,9.4,0,1,300,0
336f0716a72da425,7.8,1,3,300,0
084b8cd578b01f29,10.0,0,6,300,0
a1d8dcc5bae74561,7.8,0,1,300,0
8aac151eac01acb4,8.3,2,4,300,0
eb9cd6e41d8acaba,9.4,1,2,300,0
58104766c363a8e5,8.2,0,3,300,0
5dc251b0ea3dd5a8,8.7,2,4,300,0
d4867d3e35a84e10,9.1,0,2,300,0
738ee2d2dec7c70f,10.0,0,2,300,0
726511f52718404f,6.6,1,2,300,0
5c8fd46b6c360bb2,8.7,1,3,300,0
a27fcb27bc157766,8.3,1,5,300,0
1f3770c34d2c300a,8.5,1,3,300,0
7ad65835abec24b3,5.9,2,2,300,0
48c83a848a5de322,8.5,0,0,300,0
7533c2717e4bf256,10.0,0,0,300,0
8aa93f0ec5e69819,8.3,0,1,300,0
9d4efdb7a6e75f15,8.3,0,1,300,0
7a4b14c4a2a6bc52,6.2,3,5,300,0
02625270a6093702,10.0,0,2,300,0
9c27c7556f68be95,7.6,1,1,300,0
18c8c9fb8581d34b,8.9,0,1,300,0
834e94844579b04a,6.6,0,1,300,0
950b13eddac5a469,8.4,0,1,300,0
969deefef9468465,8.2,1,4,300,0
aadb9172950e9841,8.5,0,2,300,0
ac54394ee7c2a5e7,8.0,1,2,300,0
f7839006ad213dc0,9.8,1,3,300,0
31beb38d91f80f79,7.7,1,3,300,0
