customer_id,campaigns_exposed,total_impressions,total_clicks,total_conversions,primary_channel
bc99c4b918ed18c5,8,63,4,0,SMS_Offer
b2e378938f3d213a,8,73,0,0,TV_Commercial
ca56cbd5c290565b,6,38,4,0,Referral_Program
ff86d1ab6274a49f,8,62,0,0,Email_Promotion
b5728b7fe5b22538,4,18,1,0,Referral_Program
f4fe4b4c872d4dc6,6,42,0,0,Email_Promotion
775ebedc791f7fcc,8,54,1,0,Search_Ads
55f7b5cc41062491,8,63,2,1,Online_Display
5b66891f06c1b32b,8,74,1,0,Referral_Program
ae3262443e521c11,7,60,2,1,Online_Display
7020b62b156e377f,4,25,3,1,Referral_Program
d7295a9339cf5ac0,3,14,1,0,TV_Commercial
6e748cdb7667a2ff,6,44,1,0,SMS_Offer
987388bc3575277e,7,54,0,0,Search_Ads
0614876edb7a81b7,8,71,0,0,Referral_Program
24b1b53ad693f4b0,8,76,2,0,Direct_Mail
5ba382aa7582d5ba,6,53,1,0,SMS_Offer
808e182391b51578,8,56,0,0,Email_Promotion
391d0ed3d62b5e3c,7,46,1,1,Search_Ads
90d926b25b8f91a1,5,23,0,0,Online_Display
3b97c56363545466,8,56,2,0,Referral_Program
37445dba16c4bc6d,2,20,2,0,Online_Display
b1a1232e8939b06b,8,48,3,0,Social_Media
69f09c99e99a219d,5,46,2,0,Direct_Mail
5fd64a0b57c4fb0a,2,10,0,0,TV_Commercial
05b07554daecbdfd,8,47,2,0,Online_Display
84f436a7f5d0eece,8,60,4,0,Search_Ads
027fa0510b317e89,8,62,1,0,Search_Ads
2ce46f4511f358d2,5,40,2,1,Referral_Program
229d0cfd38e6b317,8,63,2,0,Online_Display
15af4e7ec7cb35e2,3,36,0,0,Social_Media
fba871dff120b91e,8,64,0,0,TV_Commercial
7f9c3a9037162771,8,70,5,1,Search_Ads
5b61b78147c0681b,6,43,1,0,Search_Ads
f2879f9094bece2c,8,66,1,0,Online_Display
bd5330f183223d44,3,31,0,0,Referral_Program
9a26cf3566b3ef4c,8,62,1,1,Social_Media
2275584f1ac87bcb,8,66,1,0,SMS_Offer
3bfacafe11844e97,2,5,0,0,SMS_Offer
140f57b8b687ee67,8,63,0,0,Direct_Mail
7b139bd1d3654683,2,19,0,0,Online_Display
85c01c2d7a9e18d1,8,64,1,0,Online_Display
48973778cf10fc15,5,47,4,1,Search_Ads
9007e3dd3e1e9a63,4,36,1,0,Email_Promotion
5b2ab5cf82af681a,7,57,1,0,Search_Ads
c18ca776d96260d8,5,52,1,0,Social_Media
8873eafce12cbae2,8,51,3,0,Online_Display
42060259d81626b0,8,78,3,0,Email_Promotion
840ee4fcb448aeaa,7,31,1,0,Direct_Mail
85ef579108b681d4,7,54,1,0,TV_Commercial
a22d3779bff97a6e,3,34,2,1,Online_Display
988cb6000cbe03cd,7,69,2,0,Email_Promotion
58a31580d5b844ef,4,25,0,0,Direct_Mail
3eae138560a50297,4,16,0,0,SMS_Offer
ed9d87f833a21622,8,60,3,0,SMS_Offer
a838050b36c551af,6,29,1,0,Social_Media
1fd35a5a20a4839d,5,45,2,0,Email_Promotion
29e072ba2c755ec1,6,48,0,0,Social_Media
1b8624a6c7d05fe3,5,38,3,1,Search_Ads
4b170a397045249a,4,30,1,0,Direct_Mail
d4b1696dc5e1e73e,4,41,2,0,Referral_Program
5a506a5135d297e5,6,35,1,0,Social_Media
7b5f8066095b9e86,8,60,1,0,SMS_Offer
215016c0ab4881c3,8,63,1,0,Referral_Program
eadf83c82aa9344d,4,23,1,0,Direct_Mail
921616de58b647ae,6,39,0,0,SMS_Offer
336f0716a72da425,8,64,1,0,Email_Promotion
084b8cd578b01f29,8,59,1,0,Social_Media
a1d8dcc5bae74561,6,53,2,0,TV_Commercial
8aac151eac01acb4,8,84,4,0,TV_Commercial
eb9cd6e41d8acaba,6,56,3,1,Email_Promotion
58104766c363a8e5,6,57,3,0,Online_Display
5dc251b0ea3dd5a8,7,55,1,1,Social_Media
d4867d3e35a84e10,7,68,2,0,Email_Promotion
738ee2d2dec7c70f,6,54,0,0,SMS_Offer
726511f52718404f,8,69,2,0,Direct_Mail
5c8fd46b6c360bb2,6,55,2,0,Referral_Program
a27fcb27bc157766,4,19,0,0,Email_Promotion
1f3770c34d2c300a,8,51,3,0,Direct_Mail
