customer_id,churned,churn_date,churn_probability
bc99c4b918ed18c5,0,,0.105
b2e378938f3d213a,1,2024-09-30,0.4
ca56cbd5c290565b,0,,0.15
ff86d1ab6274a49f,0,,0.105
b5728b7fe5b22538,0,,0.12
f4fe4b4c872d4dc6,0,,0.19
775ebedc791f7fcc,0,,0.615
55f7b5cc41062491,1,2024-02-03,0.51
5b66891f06c1b32b,0,,0.345
ae3262443e521c11,1,2024-09-30,0.255
7020b62b156e377f,0,,0.26
d7295a9339cf5ac0,0,,0.35
6e748cdb7667a2ff,0,,0.435
987388bc3575277e,0,,0.255
0614876edb7a81b7,0,,0.31
24b1b53ad693f4b0,0,,0.375
5ba382aa7582d5ba,0,,0.15
808e182391b51578,0,,0.32
391d0ed3d62b5e3c,1,2024-01-04,0.31
90d926b25b8f91a1,0,,0.25
3b97c56363545466,0,,0.39
37445dba16c4bc6d,1,2024-09-30,0.515
b1a1232e8939b06b,0,,0.1
69f09c99e99a219d,0,,0.16
5fd64a0b57c4fb0a,0,,0.445
05b07554daecbdfd,1,2023-11-05,0.2
84f436a7f5d0eece,0,,0.195
027fa0510b317e89,0,,0.57
2ce46f4511f358d2,0,,0.305
229d0cfd38e6b317,1,2024-07-02,0.69
15af4e7ec7cb35e2,0,,0.2
fba871dff120b91e,0,,0.12
7f9c3a9037162771,1,2024-07-02,0.415
5b61b78147c0681b,0,,0.15
f2879f9094bece2c,0,,0.245
bd5330f183223d44,0,,0.2
9a26cf3566b3ef4c,0,,0.2
2275584f1ac87bcb,0,,0.05
3bfacafe11844e97,0,,0.15
140f57b8b687ee67,0,,0.22
7b139bd1d3654683,0,,0.05
85c01c2d7a9e18d1,0,,0.235
48973778cf10fc15,0,,0.615
9007e3dd3e1e9a63,0,,0.21
5b2ab5cf82af681a,0,,0.21
c18ca776d96260d8,1,2024-02-03,0.41
8873eafce12cbae2,1,2024-09-30,0.64
42060259d81626b0,1,2024-06-02,0.57
840ee4fcb448aeaa,0,,0.46
85ef579108b681d4,1,2023-10-06,0.325
a22d3779bff97a6e,1,2023-09-06,0.265
988cb6000cbe03cd,0,,0.07
58a31580d5b844ef,1,2024-09-30,0.25
3eae138560a50297,1,2024-09-30,0.495
ed9d87f833a21622,0,,0.67
a838050b36c551af,0,,0.275
1fd35a5a20a4839d,0,,0.1
29e072ba2c755ec1,0,,0.245
1b8624a6c7d05fe3,0,,0.285
4b170a397045249a,0,,0.455
d4b1696dc5e1e73e,0,,0.08
5a506a5135d297e5,0,,0.185
7b5f8066095b9e86,0,,0.34
215016c0ab4881c3,0,,0.435
eadf83c82aa9344d,0,,0.13
921616de58b647ae,0,,0.08
336f0716a72da425,0,,0.26
084b8cd578b01f29,0,,0.11
a1d8dcc5bae74561,0,,0.16
8aac151eac01acb4,1,2023-12-05,0.475
eb9cd6e41d8acaba,0,,0.24
58104766c363a8e5,0,,0.19
5dc251b0ea3dd5a8,1,2024-05-03,0.445
d4867d3e35a84e10,0,,0.205
738ee2d2dec7c70f,0,,0.1
726511f52718404f,1,2024-06-02,0.47
5c8fd46b6c360bb2,0,,0.415
a27fcb27bc157766,0,,0.285
1f3770c34d2c300a,1,2023-09-06,0.395
7ad65835abec24b3,0,,0.665
48c83a848a5de322,0,,0.125
7533c2717e4bf256,0,,0.1
8aa93f0ec5e69819,1,2024-09-30,0.335
9d4efdb7a6e75f15,1,2023-09-16,0.135
7a4b14c4a2a6bc52,0,,0.62
02625270a6093702,0,,0.22
9c27c7556f68be95,0,,0.38
18c8c9fb8581d34b,0,,0.305
834e94844579b04a,1,2024-09-30,0.42
950b13eddac5a469,0,,0.13
969deefef9468465,0,,0.24
aadb9172950e9841,0,,0.185
ac54394ee7c2a5e7,0,,0.3
f7839006ad213dc0,1,2023-11-05,0.21
31beb38d91f80f79,1,2024-09-30,0.415
c3bed7fd4a63db02,0,,0.16
66ed13448f78057b,1,2024-09-30,0.565
3a2bb5828084c106,0,,0.435
594fb571aec6ef86,0,,0.05
0fb224a91de7fb5b,0,,0.135
06b5270c3238362f,0,,0.215
6889d7dfc9be00ff,0,,0.5
d29ed61b989575ca,0,,0.095
c021dd83812c4e8f,0,,0.155
7f637a28dc6a35a8,0,,0.1
ef0eccf4ee8e4eee,1,2024-01-04,0.315
00c8eb602ca07505,0,,0.1
8ba400400af6e98a,1,2023-07-08,0.53
0abbf32476d1ec0d,0,,0.34
0c9e19be66462560,0,,0.28
4d404680cb3102f4,1,2023-12-05,0.8
4ee9037dc4fa8870,1,2024-08-31,0.46
e7d1a1038365425f,0,,0.365
4eaedb4cac20817a,0,,0.24
f430ce0ff745ad72,0,,0.1
bbce839de493d26e,0,,0.24
bd5c35142706d5a9,0,,0.14
3f7b30a293f75aa6,1,2024-05-03,0.435
f45fbbb952151b69,0,,0.255
7c9aca82f2f2d9d3,0,,0.25
966ed9640d83281d,0,,0.05
41b92410cb27bdc0,0,,0.105
05dd179b1b785652,1,2024-05-03,0.225
1e8b0a3ad986fe62,1,2022-03-04,0.36
06fd3451f76566c1,0,,0.29
922d0dec1f048950,0,,0.215
40782170a4ceef91,0,,0.325
beba99b50a0cdb18,0,,0.145
e3b85f403916098b,0,,0.385
6091e4c7ad0254be,0,,0.115
93b707ba610d675c,1,2024-05-03,0.63
9c0f03c4c5272490,0,,0.41
a3e098fbbecf29fb,0,,0.32
969e48e3f2f5b122,1,2023-02-08,0.37
5bc28426c2a49bee,1,2024-09-30,0.575
b21b0edc0a1e1569,0,,0.295
be6bbfb542bc3fce,1,2024-07-02,0.625
a5feeec56c2ea862,0,,0.115
972f8b223eec9c78,0,,0.22
aa3839c8e01f3ff8,0,,0.31
afac2075b097112a,0,,0.26
98e0e6a54484a066,0,,0.43
c801e397e94fe215,0,,0.14
312a868130472c03,0,,0.1
0ff5b68dc15d2f28,0,,0.255
7efb5b0a3a3e6e63,1,2023-06-08,0.175
ae3c96b3fadf1a11,0,,0.1
f4a9696846955b01,1,2022-07-28,0.52
80e0e72988f6ff41,1,2022-05-14,0.57
421b6dffab174887,0,,0.23
de2f549f50b81451,0,,0.185
29ca721dd5a0dd0f,0,,0.28
4dfefc1a1e6abad2,1,2023-09-16,0.24
e540320e6d572304,1,2024-09-30,0.27
f4bdd119019e20b9,1,2022-12-10,0.135
88d4e7e9efa83f0f,0,,0.17
9f609a5085cf0df2,0,,0.14
608e0c062f19a18e,0,,0.415
4a492b5599051c54,0,,0.345
37b3c90bdde30b65,0,,0.07
36ddcc4fd592c185,0,,0.1
556a1dea0452c6a1,0,,0.395
e9e1dbf7c917bc0e,1,2024-02-03,0.545
c61a22ee630facd3,1,2022-09-11,0.1
b181d8f7d33ca031,0,,0.425
3d10a05ed72c67a1,1,2024-09-30,0.66
48c7d1f263857abb,0,,0.22
26b610dabefedcb4,1,2024-09-30,0.8
3efc2011745eaf83,1,2024-04-03,0.47
25865a1d7d1b5e17,1,2024-04-03,0.665
852ce8c4a6cd50fa,1,2024-09-30,0.385
4692d72c24b5ccdb,0,,0.335
b6f20ac367cd0a9a,0,,0.305
e0073924ac9cc559,0,,0.39
551a3ff6d230db36,0,,0.15
9ccc168bd9d17832,1,2024-09-30,0.68
0e52fe8d0c1330f3,0,,0.425
078890bc9cfe36ab,1,2024-08-31,0.68
1a50c8cc6cf0250d,1,2023-05-09,0.145
17db1bab7bfc5cda,0,,0.28
578e60e3d5ea5f84,0,,0.1
0d948130528d68f1,0,,0.41
cecb0e2361db767c,0,,0.59
a583b7fb78095bbc,0,,0.225
02444a0e94bf5cb4,0,,0.31
bab5abb3558e50b5,1,2022-02-07,0.355
c91bacd6a30aa469,0,,0.205
bf48e7373f32cceb,0,,0.39
070707d13f017b3b,0,,0.58
8e785a0cf440e506,0,,0.32
86fb371c8cfa0ae5,0,,0.475
456552f2836521f6,0,,0.51
a10a26df490257ce,0,,0.195
81779d35b9b222b1,0,,0.28
8573f0f0649f3bf4,1,2024-08-01,0.35
3b228c035f9aecaa,0,,0.57
375ed28e27e80876,0,,0.405
afa89c88ef1414eb,0,,0.1
6353d82bf503f2c0,0,,0.195
63a84b28fad4ef93,0,,0.32
02a63ffa0ada161c,0,,0.32
d94339c41935a735,0,,0.395
7800c9377a73041b,1,2022-04-05,0.1
68ed82beb8916387,1,2022-02-27,0.17
280e1a9c2a20c1d4,1,2024-09-30,0.525
ed23871c3726d3ac,0,,0.355
62206b36783a6029,0,,0.2
aba32a2cf4171a25,1,2024-09-30,0.43
8310600479b451c4,0,,0.21
52523eeb20952ca3,1,2024-09-30,0.53
f0917e4bac8d8ef5,0,,0.27
d6c9561d92fd0f13,0,,0.4
cb9bdf4f85088c16,0,,0.32
d7b577bb0c3fa025,1,2024-08-31,0.49
d16e1d95f8c69201,1,2022-10-11,0.53
4bee5ca54629c196,1,2024-08-01,0.33
b53aef260b7cc3cd,1,2023-06-08,0.26
979e29ad5cab4855,0,,0.11
c538bbb01424059c,1,2023-05-09,0.43
e1fff2dda522b794,0,,0.12
1c659901e95c26c1,0,,0.7
85c28e1d59de216e,0,,0.155
ebaa2bf4818336c2,1,2024-02-03,0.185
85d2d906e134b10b,1,2024-08-01,0.73
f3353a4deab01cfc,0,,0.25
4e3fbd76d0dd5cd9,1,2024-04-03,0.565
00c640501c8e0017,1,2022-03-05,0.36
66746220e63aa6a1,0,,0.05
40346e9f8656a445,0,,0.315
5b16b9336df89934,1,2023-03-10,0.21
7152052fe4f8d0d0,0,,0.315
01f7c985aeeff586,0,,0.525
c0170409aa7f7457,1,2023-09-06,0.445
b73f9e77bcd1c67b,0,,0.24
f446e7115b49ba30,0,,0.255
5dda9f210c61f628,0,,0.265
4ec03dd509225831,1,2022-07-15,0.11
06504526ab1e1606,1,2024-03-04,0.275
6c0923b8f57fa3ad,1,2023-11-05,0.315
2f554980956be0c8,1,2022-04-23,0.28
59e101fa7bdc7465,0,,0.085
9bd2ec8246b7d2e5,0,,0.29
b7bf1521408f5c85,0,,0.27
b1ef0aeadfe86bf0,1,2022-06-08,0.155
c07de4f31c0738ed,0,,0.125
95a070a305cece45,1,2024-03-04,0.405
38e6f1775b43fc16,1,2024-09-30,0.25
f1b28d78d478f26e,1,2022-07-13,0.23
bf44e800e7b61bd0,1,2024-09-30,0.265
3c54ff3612e88d4e,0,,0.405
75317f89aa6bfce8,0,,0.235
f541832bca6b931c,1,2022-09-11,0.33
f1bc96c2fbf78c9d,1,2024-09-30,0.655
34e08cde0e409a02,1,2022-02-13,0.22
2d2a2d1b5c9c59ba,0,,0.125
b306cc9c663a5e02,0,,0.165
f8c6922ef5a8662d,1,2024-09-30,0.8
e3e1528f4410d4cf,0,,0.3
9887c9ef445c5a82,1,2023-06-08,0.375
a999390ddbe28d6f,0,,0.435
832d0183a74e5ea1,0,,0.155
1c3f11f07baa53eb,0,,0.32
467a82b4e3f04ec9,1,2022-02-16,0.215
5485c54384e31caf,0,,0.08
8bb7a41f6070b5ed,0,,0.495
c22bcd8f26c3dec9,1,2024-03-04,0.31
c82c1a13d3e713b8,1,2024-09-30,0.5
2eee9c1ea255a097,1,2024-06-02,0.725
5bc39aeadf946328,0,,0.27
074c3c4329ad1676,0,,0.2
88f7b20482f5c395,0,,0.115
b2b35264721cbc72,1,2024-07-02,0.4
fef9d820bee0d9a4,1,2022-01-31,0.32
8c837d2d081e89ac,0,,0.275
456194fa5e92821d,0,,0.585
688f3f597d3a46c2,0,,0.15
83f13158b41dd960,0,,0.535
77103ff5075e8742,0,,0.17
793d2d4897cab14b,0,,0.14
94e7666026104260,0,,0.48
c93bbba9d7650bf3,1,2023-12-05,0.235
6604e86ac545d39e,1,2024-09-30,0.665
81da7760b303b082,0,,0.64
14f7c773e56bdee4,0,,0.16
5ae90c72e7cea694,1,2022-08-16,0.22
d9cd32c450027bc4,0,,0.1
a920f7653d23958b,1,2024-04-03,0.295
1ca2d8cf3cca0064,0,,0.345
344d5b5c21644b7d,1,2022-02-03,0.525
0b2e4e6360bf1a09,0,,0.3
535255179a2c5531,0,,0.16
b08769a89089ff09,1,2022-03-28,0.315
